Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
27023.0,185.49057177489723,582.7358175981874,137339.51606527998,418.16994500932833,1313.7196271933537,38287505.2537506,1.0759332515373103,1.0350930409174774
30275.0,196.33473257897353,616.8037535146199,153867.21862399997,442.6170211260379,1390.522381923359,45402833.30420246,1.0829301891689556,1.0785408807645098
40791.0,227.89627963021255,715.9572778667209,207312.88901376,513.7693727983511,1614.0540872227357,71007341.9744091,1.0910586256469854,1.0567397470267383
34611.0,209.92401930896025,659.4957568730714,175904.15536896,473.25270913011997,1486.767234294652,55498078.71707057,1.1003793615973687,1.111921530626254
