cluster,Mean_Diameter,Std_Diameter,Total_VolumeFraction,Mean_Circularity,Std_Circularity,Mean_Compactness,Std_Compactness,Particle_Count
0,116.35913321978116,23.089586144189195,0.6933559811118868,0.8806724628239758,0.06369117757492423,0.8951699161336429,0.0780260664893843,343
1,483.0173848960951,,0.1290017786853507,0.9153478385046716,,0.9851609045324328,,1
2,203.69962701052967,32.8041842914964,0.1776422402027445,0.8255305948180953,0.08705688540475054,0.8649898609170396,0.09157820631399108,17
