Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
1074,36.97917348,116.1734997,5458.410993,83.36584869,261.9015378,303363.3766,1.103740491,1.175017905
1546,44.36697348,139.382958,7857.265731,100.020905,314.2249404,523927.2196,1.136204407,1.139026019
1014.5,35.94024928,112.9096231,5156.012991,81.02369797,254.5434543,278506.1595,1.095031635,1.062423393
1523,44.03571081,138.3422656,7740.372385,99.27410645,311.8788035,512279.0348,1.154247682,1.320241297
2344,54.63033491,171.6262588,11912.95658,123.158627,386.9142379,978122.2508,1.175946945,1.088761553
1520.5,43.99955372,138.2286747,7727.666587,99.19259391,311.6227243,511018.1958,1.130496448,1.205307874
5911,86.75320714,272.5432382,30041.58974,195.5764302,614.4214763,3916951.252,1.231751801,1.207134549
