Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
5257.0,81.81332585,257.0241435,26717.75288,184.4399618,579.435229,3285214.213,0.9474523880730723,0.962509716210738
5072.0,80.36087961,252.461149,25777.52379,181.165567,569.1484143,3113333.142,0.9294564153437493,0.9102648304745035
5018.5,79.93592844,251.1261255,25505.61971,180.2075571,566.1387374,3064203.613,0.9339208469992647,0.9294875397231838
6394.0,90.22800923,283.4596509,32496.34999,203.410024,639.0314371,4406722.221,0.9430017332051235,0.960855928616368
6344.0,89.87453294,282.3491724,32242.23402,202.6131471,636.5279743,4355133.669,0.9445135547636113,0.9561120521829894
7153.5,95.43646621,299.8225011,36356.37154,215.1519694,675.9198466,5214763.292,0.94690391404835,0.9572166229633782
4856.0,78.63110853,247.0269129,24679.74281,177.2659711,556.8974725,2916585.717,0.9412313507985066,0.9707544260249671
5799.0,85.92738865,269.9488529,29472.36997,193.714705,608.572694,3806154.302,0.9320718497689053,0.9239504155652708
5343.5,82.48366812,259.1300858,27157.3735,185.9511814,584.1828655,3366630.458,0.9478760253268568,0.981948429600317
5074.0,80.37672207,252.5109196,25787.68843,181.2012822,569.2606171,3115174.806,0.9442436663989733,0.9823810344598235
10933.5,117.9871373,370.6675237,55567.53872,265.9902023,835.6328654,9853613.91,0.9374397369794581,0.9637127959084717
4831.0,78.42844025361956,246.3902117332772,24552.68482816,176.80907570775992,555.4620933315001,2894091.6737406068,0.9425022406768203,0.9729348263975575
3749.5,69.0942231520443,217.0659038599561,19056.156440320006,155.76601667396866,489.3533736618852,1978867.721216428,0.9381371038861006,0.9536998978394075
10685.5,116.64133553448188,366.4395628200304,54307.12352128002,262.95622682893594,826.1013504214764,9520264.194059163,0.9410264413288925,0.9609288835786174
5374.0,82.71873616906127,259.8685738629552,27312.384240640004,186.48111881953173,585.8477129166462,3395495.980548996,0.930024031138159,0.9734985349320263
10468.0,115.44813361110556,362.6910084233021,53201.71906048,260.2662724128764,817.6506093894923,9231075.403885469,0.9371392527576329,0.9235850688888445
5367.0,82.66484522814773,259.6992704788861,27276.808005119998,186.35962708233623,585.466035367601,3388863.845220431,0.9156515958668042,0.8751782026997519
7184.5,95.64303168108891,300.47144569636475,36513.92344192,215.61765062184685,677.3828271778848,5248697.591688514,0.9152583210826937,0.8764931786487977
5681.0,85.04865580149082,267.1882322636505,28872.656284159995,191.7336896388809,602.3491508151737,3690573.946024812,0.9354597737286499,0.9244419108857698
7388.5,96.9913933103126,304.7074486851162,37550.71659136,218.6573970787687,686.932472315726,5473827.96553954,0.9287301553157858,0.9087565944372922
6755.5,92.74356982809316,291.36251763962946,34333.608436480004,209.0811038204532,656.8476597667807,4785672.500025642,0.9348610132880509,0.9394056086749144
6310.0,89.63337284337166,281.59154564121127,32069.435161599995,202.06947573809703,634.8199804935466,4320169.300214271,0.931833288917094,0.9252608360853157
