Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
18985.0,155.47492645695982,488.4388867745984,96487.8330496,350.5026742045702,1101.1366263446544,22546162.341392606,0.9063600895569954,0.9039239910288359
27962.0,188.68578152548915,592.7738650773255,142111.81394432002,425.37322587106274,1336.3494014303224,40300373.82125578,0.9452214391926915,0.9545571540390194
39528.5,224.3418136328221,704.7905936018844,200896.46082176,505.7561846538341,1588.879914216088,67736418.35711454,0.9307214978257743,0.9030317615644465
14494.0,135.8467296676348,426.7750879380401,73663.13680384,306.2528673627159,962.1217582475176,15039697.910072006,0.8260952121860539,0.7303587616539507
6717.0,92.47891663501518,290.5310851125066,34137.93914112,208.4844696619782,654.9732782776348,4744820.091459527,0.8824821763897926,0.9095215530785903
38270.5,220.74309501496768,693.4848856296961,194502.90306688004,497.6432334017432,1563.392326163587,64528702.392152,0.9427536508260247,0.9263438630522653
17668.5,149.98744246153817,471.1994473678901,89796.95961216,338.13169028529165,1062.2720341461716,20242131.82409315,0.9446640527395016,0.9460008551098722
42505.5,232.6363760651813,730.848730004126,216026.52555648008,524.4554462013448,1647.6253769213015,75530858.5680333,0.935554639944143,0.9478276229602276
14555.5,136.13463260093906,427.6795616782557,73975.69944448,306.901915735557,964.1608038474596,15135522.584925791,0.8250006559065509,0.7292917009384178
6654.0,92.04420639381804,289.16540261232143,33817.75302144001,207.5044588942234,651.8944836492175,4678223.027821599,0.8938524830738325,0.8733423951374322
18159.0,152.05511136704948,477.69522081150046,92289.83725824,342.7930430658764,1076.9161057974468,21090876.105204392,0.9408449601099869,0.9373109136734928
42238.5,231.9045677,728.5496862,214669.5463,522.8056574,1642.442412,74820302.18,0.9293458627680595,0.8826755193583976
62099.5,281.1895075,883.3828909,315609.4911,633.9136256,1991.498389,133379437.9,0.8394541890688483,0.9223989839480023
55859.5,266.6880656,837.8252678,283895.8183,601.2215752,1888.793284,113789527.4,0.9435367199228197,0.9526081330902693
65439.5,288.6523154033182,906.8279935127484,332584.43775872,650.7377798452405,2044.35302857514,144283505.7587914,0.8466519966154313,0.8709181069668713
26197.5,182.63540996531705,573.7660622324,133144.0614336,411.7332682258107,1293.4982106967227,36546559.70594283,0.938184462394148,0.8964584606575053
48761.5,249.16875819533163,782.7867402505454,247821.51547264008,561.7260484755557,1764.7144272208295,92805200.40911324,0.8346131534942404,0.8965844865325158
20171.5,160.25963770277698,503.470500474006,102518.00497024,361.2893272371404,1135.0238962685992,24692440.696927886,0.9397109942725862,0.9644313123450664
53131.0,260.0932337669012,817.1069924505096,270028.70991616,586.3541862041021,1842.0860037804289,105554976.30308904,0.900116867956242,0.8056380235225462
21264.5,164.54422596682286,516.9309314879896,108072.98003072,370.9485030196055,1165.3690919465237,26726340.10617553,0.9485959624463817,0.9902156654210152
