Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Equivalent Perimeter [mym],Perimeter [mym],Feret_max [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
6098.5,88.11839401377779,276.8320992798151,30994.52461696,198.65410746466063,624.0902846164151,688.6357510526657,202.7969984863281,4104793.0827157614,0.9062705264175076,0.9795712409326076
11166.5,119.23770115313862,374.5962859736355,56751.71913343999,268.8094734796357,844.4898670989638,1003.6658650697708,276.99194229736327,10170266.492882784,0.8414053884758331,0.9704595420723706
7005.0,94.44068514612658,296.694162655058,35601.6471168,212.90708059342776,668.8673202895627,780.4527780567169,232.02681700439453,5053228.5013035415,0.8570247157746101,0.9175968680783797
12973.5,128.5238236033368,403.76950004351335,65935.47021696002,289.7441079313625,910.2579608980966,1148.5883250787736,346.3667370117187,12736275.999365335,0.7925014916338005,0.8365240566433476
11488.0,120.94203524795483,379.9506094451728,58385.68480768,272.6517242629894,856.5606539331974,1017.6065460819244,310.5748690673828,10612638.423392916,0.8417405108400691,0.8778937107233697
7722.5,99.1594291240994,311.5185340704285,39248.2112576,223.5450170173697,702.287383208374,975.8394770715712,277.1949848388672,5849161.368987675,0.7196751102096127,0.8064540458670847
1172.5,38.63771947465298,121.38397565303308,5959.0194496,87.10487478365768,273.6480347121978,347.77958302745816,113.94640791015624,346039.7619938591,0.786843299799438,0.7644372155402881
14751.5,137.04814170269057,430.54943516130567,74971.83403904001,308.96133065454563,970.6306466276476,1433.9244450967788,366.980620288086,15442265.070875706,0.6769050140310128,0.8419009440117187
5795.0,85.89774829260816,269.85573499596296,29452.0406912,193.6478837508558,608.3627689748989,739.2327180477142,222.4545608520508,3802216.901329981,0.8229651557922951,0.8705053427951357
10683.0,116.62768992141508,366.3966938622659,54294.41772287999,262.9254641588381,826.0047066430923,1227.5198120918274,304.31207734375,9516923.320681378,0.6729053971320351,0.8639994391738791
6837.0,93.30133314885865,293.1147827905881,34747.81746432,210.3385254507869,660.7979663231018,909.5280740711212,249.2073635620117,4872536.45871878,0.7265283889097746,0.8440301379716139
7239.5,96.00842506837726,301.61936287754014,36793.45100672,216.4413934741497,679.9706916711265,791.5645630544662,227.7959986694336,5309083.871078222,0.8590211378933835,0.9501545011255395
30008.5,195.46869027592408,614.0830013776617,152512.78051456003,440.6646153580433,1384.3887183058007,2248.447289163398,701.1043650390625,44804657.17508951,0.6157087715500341,0.6285292708646756
4245.0,73.5180377,230.9637271,21574.44568,165.7390642,520.6846265,553.731058,171.3937046,2383818.959,0.9403204294195155,0.9670078869714455
4580.5,76.36801513,239.9171953,23279.56383,172.1640533,540.8693251,577.916085,181.7904631,2671936.045,0.9358959527183269,0.9470466732102794
1253.0,39.94207242,125.4817213,6368.146158,90.04540807,282.8859925,371.64418,124.4888135,382281.5463,0.7611742833879609,0.7233212809804336
7989.5,100.8590469,316.8580408,40605.19053,227.3766353,714.3247672,973.9718711,256.60138,6155114.4,0.7334141657444082,0.8861083886735417
1118.5,37.7374937,118.555833,5684.574204,85.0754058,267.2722699,298.315511,84.88602371,322411.6381,0.8959382264211143,1.0022310163539547
1116.5,37.70373923,118.4497902,5674.409565,84.99930971,267.033207,296.768335,105.9568,321547.2641,0.8998035685619259,0.802207217324847
1117.0,37.71218068,118.4763098,5676.950725,85.01834012,267.0929927,397.149804,153.1866451,321763.2851,0.6725245487247798,0.5549983815803194
10211.5,114.02493416381836,358.21989549511164,51898.104144640005,257.0578115789121,807.5709324041796,1034.7743070760728,286.89291925048826,8893875.384343755,0.7804319520515599,0.8960061205082342
5203.0,81.3920472236511,255.70065761845584,26443.30763008,183.49023126099905,576.4515625350468,669.733112046814,223.21337752685545,3234725.754899414,0.8607183252046723,0.8220395806650199
6276.0,89.39156214519289,280.83187492825346,31896.636303360006,201.52433770012289,633.1073788382546,738.7795600540161,246.9706792602539,4285299.003930881,0.8569638537264955,0.8159848703649539
2022.5,50.74570897353654,159.42234651246804,10278.9909056,114.40112630994076,359.4017379777079,466.102401030159,173.35445399169922,783952.091286852,0.7710789242522117,0.6599260859799926
5464.0,83.40851798487328,262.03558734809,27769.792983040006,188.03616294509837,590.7330281175342,745.9295540531158,235.1657807373047,3481150.21220704,0.7919421142488604,0.7995898142814699
9739.0,111.3556461,349.8340798,49496.70825,251.0401686,788.6659496,1142.758928,271.8215384,8283774.657,0.6901420152499508,0.9235477443069483
25931.0,181.7040854,570.8402197,131789.6233,409.63369,1286.902191,2371.693188,520.5039325,35990313.14,0.5426090515961624,0.7869944192124458
4808.0,78.24152178,245.80299,24435.79148,176.3876867,554.1382608,670.0535421,203.6560551,2873448.488,0.8270059418846963,0.8661057815282222
10995.5,118.321196,371.717,55882.64252,266.7433042,837.9988048,968.6894831,288.7708693,9937547.142,0.8650850652072488,0.923719573827269
7562.0,98.12358247,308.2643258,38432.499,221.2098043,694.9510962,874.3639901,275.7129549,5667763.722,0.7948075445659619,0.8023192250306179
10872.5,117.657541,369.6320664,55257.51724,265.2471604,833.2985305,1085.597853,351.9285031,9771266.359,0.7675941215775381,0.753696157422816
8607.0,104.6841572,328.8749791,43743.52273,235.9999639,741.4157529,1034.547728,275.4386884,6882313.191,0.7166568856976577,0.8568148696347822
9325.0,108.9631073,342.3176974,47392.62803,245.6464291,771.7210171,919.7724201,256.6334575,7761219.895,0.8390347443255612,0.9571878568139087
18681.5,154.2271849,484.518991,94945.34912,347.6897656,1092.299613,1450.732899,474.5520944,22007684.12,0.7529295116968413,0.7326693313835596
1310.5,40.84826096,128.3285965,6660.379521,92.08831951,289.303988,475.440431,132.2621007,408895.4383,0.6084968152569745,0.6962562894614783
2388.0,55.14069308,173.2295963,12136.57863,124.3091785,390.5288019,448.29378,135.264,1005792.079,0.8711448142869137,0.9190115510607803
5750.0,85.56358678,268.8059356,29223.33632,192.89455,605.9961013,749.2116081,261.4326573,3758014.873,0.8088450506375017,0.7378364737317477
4970.0,79.54873058,249.9097076,25259.12722,179.3346582,563.3964448,621.363058,198.3872,3019891.298,0.9067105573089459,0.9039628478356608
2359.0,54.80485458,172.1745285,11989.19137,123.5520642,388.1502571,530.866628,134.1820352,987526.2277,0.7311634158430751,0.9207794762895464
9466.0,109.7838127,344.8960195,48109.23506,247.4966273,777.5335863,905.9255901,268.9591115,7937915.615,0.8582753315799334,0.9202016843943996
1905.5,49.25604483,154.7424286,9684.35954,111.0428275,348.851331,409.035177,130.9471745,716919.1104,0.8528638872109479,0.8479971243264238
1233.5,39.63005145632319,124.5014785165704,6269.040930560001,89.34198800313499,280.6761331677563,323.04754702205656,110.50010261230469,373392.3864061692,0.8688384597100584,0.8085240274988339
5516.0,83.80447081605585,263.2795098537013,28034.07358976,188.92879900771632,593.5373270141841,745.4763960594178,209.70213046875,3530962.5697381967,0.7961852717961532,0.9009388630692557
11399.5,120.47528456164147,378.4842689179927,57935.89954431999,271.5994815157645,853.2549358487227,989.8190350652694,326.6562511474609,10490240.184924489,0.8620312457341847,0.8314534944967503
8070.5,101.3690275468061,318.46019224258737,41016.85839488001,228.52633570151968,717.936657391689,803.8642170625686,234.3329193237305,6248954.900646695,0.8931068732168838,0.9752207942487627
