Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
6617,91.78794075,288.3603204,33629.70721,206.9267336,650.0795062,4639256.977,1.065404363,1.081638932
3365.5,65.46058118,205.6504809,17104.54581,147.5743342,463.6184442,1682794.639,1.078153907,1.140910461
15938,142.4531216,447.5296804,81002.00596,321.1463174,1008.910912,17342330.61,1.066715538,1.060084273
3999,71.35604347,224.1716219,20324.19512,160.8650644,505.3725045,2179635.305,1.077845457,1.121856363
4327,74.22470957,233.1838023,21991.19587,167.3321852,525.6895639,2453223.241,1.07638243,1.129398519
3448,66.25805574,208.1558211,17523.83715,149.3721609,469.2664832,1745048.948,1.067308708,1.071567815
4039,71.71202494,225.2899707,20527.4879,161.667589,507.89371,2212419.651,1.092403913,1.180007823
6293,89.51254915,281.2119668,31983.03573,201.7970908,633.964258,4302722.377,1.071655955,1.113833287
3312,64.93819656,204.0093612,16832.64172,146.3966703,459.918704,1642828.467,1.090395019,1.157437022
