Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
2076.5,51.41869226888764,161.5365858891317,10553.43615104,115.91829985098029,364.1680792284585,815557.5841429533,1.1829855871527262,1.381676053886445
1378.5,41.894638229938465,131.61588768797677,7005.977237759999,94.44727242557327,296.71485720377484,441130.2938547227,1.1914304944176497,1.373830899628639
7421.5,97.20775319516449,305.3871633098985,37718.43313024,219.14515880317882,688.4648209658352,5510541.345422352,1.1326258326057095,1.3312262995968738
3052.5,62.34231075524939,195.85414547650345,15513.7798464,140.54450536663424,441.5335855622294,1453584.3432527648,1.1099061658318456,1.0397801325822673
3597.0,67.67453466712853,212.60582094535874,18281.10273792,152.56547095357453,479.2985627392167,1859376.6991742968,1.183515875359202,1.3378587882813033
8755.0,105.5803590359322,331.69048031065734,44495.7059968,238.02036141060555,747.7630188123459,7060589.34838559,1.145364903720448,1.3545977888724912
4582.5,76.38468572789236,239.96956752951175,23289.728467199995,172.20163550496054,540.9873930385313,2673686.2216788516,1.1662520701200976,1.3775011651699032
2561.5,57.108695431073535,179.4122580223576,13018.36104064,128.74584297981218,404.466994485603,1117373.244261828,1.2327959953266634,1.4808769965899893
