# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Histogram_Bin,Histogram_Bin_Lower,Histogram_Bin_Upper,KMeans_Input_Volume,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,KMeans_Input_Number,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1620.5,45.42339356,142.7017995,8235.898523,102.4024984,321.7069368,562251.0571,0.90442528572425,0.8099178181897324,0.0003111629134989586,0,102.4024984,120.14640559395963,0.0003111629134989586,0,0,0,0,5,0,0,0,2,0,2,3,5
1799.5,47.866424148362334,150.37680645810818,9145.633688319998,107.91006660006803,339.0094724791591,657937.2936042914,0.9200813492427716,0.8704348798905951,0.0003641179195526515,0,102.4024984,120.14640559395963,0.0003641179195526515,0,0,0,0,5,0,1,0,2,0,2,3,5
1830.5,48.27696124,151.6665468,9303.185588,108.8355814,341.917063,675011.7417,0.9260283995426724,0.8927787640557738,0.00037356731933368644,0,102.4024984,120.14640559395963,0.00037356731933368644,0,0,0,0,5,0,2,0,2,0,2,3,5
1873.0,48.83418543693506,153.41711821271684,9519.184161280002,110.0917876490264,345.86355129874886,698656.000850409,0.9278994026557535,0.8803707872818373,0.00038665260654099383,0,102.4024984,120.14640559395963,0.00038665260654099383,0,0,0,0,5,0,3,0,2,0,2,3,5
1895.0,49.12014797690591,154.31549602749112,9630.9951872,110.73646159913667,347.88885424437603,711001.552472562,0.9032072341038666,0.8701318995597579,0.00039348492417382253,0,102.4024984,120.14640559395963,0.00039348492417382253,0,0,0,0,5,0,4,0,2,0,2,3,5
2201.5,52.94371405308152,166.32758312291958,11188.72607104,119.35630896126696,374.9689033923098,890296.6972120219,0.9244330610280632,0.9783945513910188,0.0004927110597387846,0,102.4024984,120.14640559395963,0.0004927110597387846,0,0,0,0,5,0,5,0,2,0,2,3,5
2223.5,53.20759464323335,167.15658844636553,11300.53709696,119.95120136370528,376.83781299348647,903675.3338903134,0.7021438494346628,0.6078759516725489,0.0005001151108559723,0,102.4024984,120.14640559395963,0.0005001151108559723,0,0,0,0,5,0,6,0,2,0,2,3,5
2310.0,54.23267786434878,170.37698236313992,11740.1577216,122.26214897738788,384.0978690394626,956917.9415841931,0.938513954422594,1.023258072912241,0.0005295808178975211,1,120.14640559395963,137.89031278791924,0.0005295808178975211,0,0,0,0,5,0,7,0,2,0,2,3,5
2432.5,55.65209063969011,174.83619911056374,12362.741843199998,125.46207313811738,394.1507272748549,1034036.8142128148,0.9386320436107092,1.0020063427795944,0.0005722602095853682,1,120.14640559395963,137.89031278791924,0.0005722602095853682,0,0,0,0,5,0,8,0,2,0,2,3,5
2443.5,55.77778076941006,175.23106629872066,12418.64735616,125.74542896655804,395.0409158638359,1041058.7593231676,0.9236159391131252,0.8884379538183842,0.0005761463185955261,1,120.14640559395963,137.89031278791924,0.0005761463185955261,0,0,0,0,5,0,9,0,2,0,2,3,5
