# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Histogram_Bin,Histogram_Bin_Lower,Histogram_Bin_Upper,KMeans_Input_Volume,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,KMeans_Input_Number,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
2152.0,52.34511916,164.4470418,10937.15126,118.0068366,370.7294111,860439.0816,0.90103195640483,0.8420665167523859,0.00048664638070324186,2,116.67226957201636,129.64563133802454,0.00048664638070324186,0,0,0,4,0,0,21,0,0,0,2,4,5
2159.5,52.4362546,164.7333522,10975.26866,118.2122924,371.3748693,864941.1117,0.9320011434498348,0.9630658543506662,0.0004891926349364969,2,116.67226957201636,129.64563133802454,0.0004891926349364969,0,0,0,4,0,0,22,0,0,0,2,4,5
2169.5,52.5575227,165.1143272,11026.09185,118.4856792,372.2337392,870955.9878,0.913483926371544,0.8811582750803709,0.0004925945232828519,2,116.67226957201636,129.64563133802454,0.0004925945232828519,0,0,0,4,0,0,23,0,0,0,2,4,5
2192.5,52.835383048028,165.98725123328745,11142.9851968,119.11208754347432,374.2016591803233,884842.8188379201,0.9007973645154448,0.9138347995361348,0.0005004486249950552,2,116.67226957201636,129.64563133802454,0.0005004486249950552,0,0,0,4,0,0,24,0,0,0,2,4,5
2217.5,53.13575717396171,166.93090438064925,11270.0431808,119.78925097297927,376.3290308357357,900020.0207074432,0.9346102901897444,0.9322062662098546,0.0005090325335098471,2,116.67226957201636,129.64563133802454,0.0005090325335098471,0,0,0,4,0,0,25,0,0,0,2,4,5
2221.5,53.18365960169688,167.08139429571116,11290.37245824,119.89724220606544,376.6682953002512,902456.3474815276,0.9329181259817754,0.9090893079182816,0.0005104104690687641,2,116.67226957201636,129.64563133802454,0.0005104104690687641,0,0,0,4,0,0,26,0,0,0,2,4,5
2236.0,53.3569454,167.6257877,11364.06609,120.2878977,377.8955757,911306.4128,0.936483346655246,0.9928700719332084,0.0005154158812453162,2,116.67226957201636,129.64563133802454,0.0005154158812453162,0,0,0,4,0,0,27,0,0,0,2,4,5
2243.5,53.446355522274274,167.90667786992512,11402.18348416,120.48946388941512,378.5288145899592,915895.3167834546,0.9339473161978612,0.9683107629366594,0.0005180112695333403,2,116.67226957201636,129.64563133802454,0.0005180112695333403,0,0,0,4,0,0,28,0,0,0,2,4,5
2263.5,53.68405452,168.6534313,11503.82987,121.0253325,380.2122955,928169.8902,0.93557560255604,0.9098992288241896,0.000524953511994864,2,116.67226957201636,129.64563133802454,0.000524953511994864,0,0,0,4,0,0,29,0,0,0,2,4,5
2269.0,53.74923745509404,168.8582095249768,11531.78262784,121.172280918764,380.67394755310767,931554.936049834,0.9459331412678256,0.9745243935714614,0.0005268680232561065,2,116.67226957201636,129.64563133802454,0.0005268680232561065,0,0,0,4,0,0,30,0,0,0,2,4,5
2330.5,54.47278916,171.1313142,11844.34527,122.8034559,385.7984348,969684.3544,0.9381728041765772,1.00133800787288,0.0005484332262265755,2,116.67226957201636,129.64563133802454,0.0005484332262265755,0,0,0,4,0,0,31,0,0,0,2,4,5
2350.5,54.706028460307735,171.86405711797693,11945.991655679998,123.32927056091776,387.4503303667672,982193.6246812162,0.9369023656264858,0.9946550629146862,0.0005555082083348644,2,116.67226957201636,129.64563133802454,0.0005555082083348644,0,0,0,4,0,0,32,0,0,0,2,4,5
2365.0,54.87450704378728,172.39334819812348,12019.6852864,123.70908867951404,388.6435641778496,991296.2086634054,0.9291483277412836,0.9114418159520612,0.0005606564397956466,2,116.67226957201636,129.64563133802454,0.0005606564397956466,0,0,0,4,0,0,33,0,0,0,2,4,5
2387.5,55.134920087501726,173.21145990315574,12134.037472000002,124.29616384526388,390.4879152056743,1005476.206482856,0.9350772783510318,0.95088487775311,0.000568676350518883,2,116.67226957201636,129.64563133802454,0.000568676350518883,0,0,0,4,0,0,34,0,0,0,2,4,5
2397.5,55.250265234680576,173.57382737016005,12184.8606656,124.55619794506389,391.3048364232888,1011799.9446649976,0.943726433935888,0.9525907799082858,0.0005722529248106174,2,116.67226957201636,129.64563133802454,0.0005722529248106174,0,0,0,4,0,0,35,0,0,0,2,4,5
2406.0,55.34811961,173.881246,12228.06038,124.7768009,391.9978809,1017185.503,0.938184065183828,0.9073462233544932,0.0005752988841676954,2,116.67226957201636,129.64563133802454,0.0005752988841676954,0,0,0,4,0,0,36,0,0,0,2,4,5
2415.5,55.457281941218376,174.22418953458956,12276.34241408,125.0228964082827,392.7710128867787,1023215.923938754,0.928795754740946,0.8656020715916747,0.0005787095643503117,2,116.67226957201636,129.64563133802454,0.0005787095643503117,0,0,0,4,0,0,37,0,0,0,2,4,5
2424.0,55.55477168,174.5304626,12319.54213,125.2426773,393.4614748,1028621.626,0.9374965060677088,0.9781436568033832,0.0005817669165784016,2,116.67226957201636,129.64563133802454,0.0005817669165784016,0,0,0,4,0,0,38,0,0,0,2,4,5
2426.0,55.57768559,174.6024488,12329.70677,125.2943344,393.6237605,1029894.935,0.9420753470147966,0.9824839596082688,0.0005824870735652444,2,116.67226957201636,129.64563133802454,0.0005824870735652444,0,0,0,4,0,0,39,0,0,0,2,4,5
2469.5,56.07374658183172,176.1608703207383,12550.78765952,126.41265429408143,397.13706605107245,1057718.921014217,0.9339945388716864,0.8930811150817337,0.0005982237391585571,2,116.67226957201636,129.64563133802454,0.0005982237391585571,0,0,0,4,0,0,40,0,0,0,2,4,5
2476.0,56.14749426968458,176.39255551511607,12583.822735359996,126.5789110815769,397.65937715327766,1061897.719390306,0.8969790964461817,0.8467988318823476,0.0006005871802770506,2,116.67226957201636,129.64563133802454,0.0006005871802770506,0,0,0,4,0,0,41,0,0,0,2,4,5
2481.5,56.209820585555214,176.5883594111806,12611.775491840002,126.71941952807568,398.1007974565655,1065437.913029584,0.9379675417625812,0.9214724686156592,0.0006025894398888988,2,116.67226957201636,129.64563133802454,0.0006025894398888988,0,0,0,4,0,0,42,0,0,0,2,4,5
2495.5,56.36815842,177.0857924,12682.92796,127.0763763,399.2222104,1074467.018,0.9388984211281348,0.909163845520647,0.0006076961131546828,2,116.67226957201636,129.64563133802454,0.0006076961131546828,0,0,0,4,0,0,43,0,0,0,2,4,5
2514.0,56.57671089,177.7409793,12776.95087,127.546537,400.6992637,1086437.225,0.9202840622777464,0.9029521927130774,0.0006144662123254301,2,116.67226957201636,129.64563133802454,0.0006144662123254301,0,0,0,4,0,0,44,0,0,0,2,4,5
2536.0,56.82372291,178.5169904,12888.7619,128.1034009,402.4487033,1100729.489,0.9336860055848372,0.963113947411486,0.0006225496184565437,2,116.67226957201636,129.64563133802454,0.0006225496184565437,0,0,0,4,0,0,45,0,0,0,2,4,5
2538.0,56.84612533,178.5873697,12898.92654,128.1539049,402.6073663,1102031.87,0.9293365419866996,0.8888936881246771,0.0006232862179596348,2,116.67226957201636,129.64563133802454,0.0006232862179596348,0,0,0,4,0,0,46,0,0,0,2,4,5
2543.5,56.90768649342448,178.78076982053344,12926.87929216,128.29268843077614,403.0433674834106,1105616.06494089,0.933187622591253,0.9288281665847982,0.0006253133637890356,2,116.67226957201636,129.64563133802454,0.0006253133637890356,0,0,0,4,0,0,47,0,0,0,2,4,5
2572.0,57.22562458426154,179.7796017910035,13071.725393920002,129.00944806275922,405.2951342776384,1124250.7188650488,0.9436770592683532,0.9767968611328384,0.0006358527350028425,2,116.67226957201636,129.64563133802454,0.0006358527350028425,0,0,0,4,0,0,48,0,0,0,2,4,5
2573.0,57.23674824,179.8145478,13076.80771,129.0345252,405.3739165,1124906.45,0.9438604935831992,0.9480390041676192,0.000636223602842719,2,116.67226957201636,129.64563133802454,0.000636223602842719,0,0,0,4,0,0,49,0,0,0,2,4,5
2573.0,57.23674823575824,179.8145477728266,13076.807713279995,129.03452522269336,405.37391649906033,1124906.4498076928,0.926762620969713,0.8973132536005126,0.0006362236027339541,2,116.67226957201636,129.64563133802454,0.0006362236027339541,0,0,0,4,0,0,50,0,0,0,2,4,5
2598.5,57.51967452,180.7033869,13206.40686,129.6723542,407.3777155,1141670.579,0.8825462798112715,0.7800370503090207,0.0006457050442113769,3,129.64563133802454,142.61899310403274,0.0006457050442113769,0,0,0,4,0,0,51,0,0,0,2,4,5
2619.0,57.74611994,181.4147862,13310.5944,130.1828528,408.9814939,1155207.434,0.9343257820273394,0.9157748131127056,0.0006533612067831708,3,129.64563133802454,142.61899310403274,0.0006533612067831708,0,0,0,4,0,0,52,0,0,0,2,4,5
2622.0,57.77918385,181.5186595,13325.84136,130.2573921,409.215666,1157192.895,0.7450820868036755,0.7814779418523974,0.000654484142073233,3,129.64563133802454,142.61899310403274,0.000654484142073233,0,0,0,4,0,0,53,0,0,0,2,4,5
2627.5,57.83975193,181.7089398,13353.79412,130.3939368,409.6446338,1160835.857,0.935356574580254,0.9481926544852008,0.0006565445253243551,3,129.64563133802454,142.61899310403274,0.0006565445253243551,0,0,0,4,0,0,54,0,0,0,2,4,5
2634.5,57.9167469787866,181.95082682837483,13389.370353919998,130.5675143889765,410.18994400188814,1165477.870896523,0.921556514169252,0.926688313464348,0.0006591699514704064,3,129.64563133802454,142.61899310403274,0.0006591699514704064,0,0,0,4,0,0,55,0,0,0,2,4,5
2640.5,57.98266136,182.157903,13419.86427,130.7161118,410.6567764,1169461.652,0.9409919006728696,0.9375304873195346,0.0006614230948909912,3,129.64563133802454,142.61899310403274,0.0006614230948909912,0,0,0,4,0,0,56,0,0,0,2,4,5
2662.5,58.22370898,182.9151764,13531.6753,131.2595295,412.3639737,1184107.555,0.9368850432964092,0.9499029505053336,0.0006697065118573931,3,129.64563133802454,142.61899310403274,0.0006697065118573931,0,0,0,4,0,0,57,0,0,0,2,4,5
2670.0,58.30565654,183.1726222,13569.79269,131.4442721,412.9443596,1189114.349,0.9403404685280424,1.0055688786616457,0.0006725382500142606,3,129.64563133802454,142.61899310403274,0.0006725382500142606,0,0,0,4,0,0,58,0,0,0,2,4,5
2679.5,58.40929173,183.4982018,13618.07473,131.6779073,413.6783461,1195466.387,0.9422132376955492,0.9545078084971672,0.0006761308300921452,3,129.64563133802454,142.61899310403274,0.0006761308300921452,0,0,0,4,0,0,59,0,0,0,2,4,5
2681.0,58.42563837,183.5495563,13625.6982,131.7147592,413.7941197,1196470.371,0.9389673697900028,0.9079816394780889,0.000676698662481831,3,129.64563133802454,142.61899310403274,0.000676698662481831,0,0,0,4,0,0,60,0,0,0,2,4,5
2689.5,58.51818311914016,183.84029418851296,13668.89791872,131.92339202378955,414.44955921858366,1202164.91910964,0.9399713883005448,0.9349443224769328,0.0006799193800044981,3,129.64563133802454,142.61899310403274,0.0006799193800044981,0,0,0,4,0,0,61,0,0,0,2,4,5
2699.5,58.62687226,184.1817512,13719.72111,132.1684208,415.2193399,1208875.916,0.9370670878900672,0.9389808576141664,0.0006837149797365924,3,129.64563133802454,142.61899310403274,0.0006837149797365924,0,0,0,4,0,0,62,0,0,0,2,4,5
2701.0,58.64315825677941,184.23291516280185,13727.344591360004,132.2051359740835,415.3346839430204,1209883.638842566,0.9248827982524584,0.9308437818536416,0.0006842849267375757,3,129.64563133802454,142.61899310403274,0.0006842849267375757,0,0,0,4,0,0,63,0,0,0,2,4,5
2720.0,58.84905744,184.8797665,13823.90866,132.6693151,416.7929457,1222672.329,0.9338988713598664,0.971179944756546,0.0006915179428942542,3,129.64563133802454,142.61899310403274,0.0006915179428942542,0,0,0,4,0,0,64,0,0,0,2,4,5
2721.5,58.86528197,184.9307374,13831.53214,132.7058917,416.9078543,1223683.87,0.8278761133532544,0.7589295257146885,0.0006920900493653686,3,129.64563133802454,142.61899310403274,0.0006920900493653686,0,0,0,4,0,0,65,0,0,0,2,4,5
2731.0,58.96793363,185.2532271,13879.81417,132.9373096,417.6348752,1230096.769,0.942036764273432,1.006536720219483,0.0006957170511542253,3,129.64563133802454,142.61899310403274,0.0006957170511542253,0,0,0,4,0,0,66,0,0,0,2,4,5
2740.0,59.06501801,185.5582267,13925.55505,133.1561766,418.3224662,1236182.445,0.9396293878250548,0.9079408410625543,0.0006991589824458926,3,129.64563133802454,142.61899310403274,0.0006991589824458926,0,0,0,4,0,0,67,0,0,0,2,4,5
2741.5,59.08118323,185.6090112,13933.17853,133.1926195,418.4369549,1237197.697,0.9315963562762376,0.915553068254224,0.0006997331877811302,3,129.64563133802454,142.61899310403274,0.0006997331877811302,0,0,0,4,0,0,68,0,0,0,2,4,5
2742.0,59.08657065411578,185.6259362927844,13935.71968512,133.2047648826386,418.47511077845314,1237536.176084512,0.931211556284374,0.9298876648694818,0.0006999246244847202,3,129.64563133802454,142.61899310403274,0.0006999246244847202,0,0,0,4,0,0,69,0,0,0,2,4,5
2744.0,59.10811544,185.6936212,13945.88432,133.2533354,418.6276997,1238890.401,0.9354386842701684,0.9086032237445906,0.000700690545824038,3,129.64563133802454,142.61899310403274,0.000700690545824038,0,0,0,4,0,0,70,0,0,0,2,4,5
