# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Histogram_Bin,Histogram_Bin_Lower,Histogram_Bin_Upper,KMeans_Input_Volume,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,KMeans_Input_Number,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1048.0,36.52882482,114.7586877,5326.270689,82.35058268,258.7119856,292414.3298,0.933667824312999,1.014689578843055,0.0003684216330941275,0,82.35058268,91.2090890848,0.0003684216330941275,0,0,3,0,0,3,0,1,1,0,2,3,6
1124.0,37.83016320718592,118.84696281579816,5712.526960640002,85.28431993427994,267.9285929719354,324792.6512962811,0.9477658362853576,0.945754080179648,0.00040921605685121715,0,82.35058268,91.2090890848,0.00040921605685121715,0,0,3,0,0,3,1,1,1,0,2,3,6
1171.0,38.61299660586932,121.30630647008668,5951.395970560001,87.0491395482718,273.4729373061634,345375.9322322,0.9315103696721342,0.918524387027385,0.00043514955327744623,0,82.35058268,91.2090890848,0.00043514955327744623,0,0,3,0,0,3,2,1,1,0,2,3,6
1204.0,39.15329375494655,123.0037000243832,6119.112509440002,88.2671854411515,277.2995413349695,360077.892404007,0.9326782048450808,0.8991808953380727,0.00045367299629710484,0,82.35058268,91.2090890848,0.00045367299629710484,0,0,3,0,0,3,3,1,1,0,2,3,6
1260.5,40.0614334,125.8567049,6406.263553,90.31449546,283.7313554,385718.9737,0.8572692017227411,0.9408999673185924,0.00048597896793614934,0,82.35058268,91.2090890848,0.00048597896793614934,0,0,3,0,0,3,4,1,1,0,2,3,6
1294.0,40.59029405,127.5181696,6576.521252,91.5067589,287.4769615,401197.4297,0.9360822107611584,0.9439603264198194,0.0005054807414682329,1,91.2090890848,100.0675954896,0.0005054807414682329,0,0,3,0,0,3,5,1,1,0,2,3,6
1382.5,41.95537713567073,131.80670458801234,7026.306515199999,94.58420221465607,297.145034823215,443051.7308372215,0.9305780022696748,0.934411419324136,0.0005582142377628066,1,91.2090890848,100.0675954896,0.0005582142377628066,0,0,3,0,0,3,6,1,1,0,2,3,6
1391.5,42.09171921529197,132.2350358637256,7072.047389439999,94.8915717989542,298.1106648511829,447385.1284137682,0.9358693962293412,0.911682890502663,0.0005636740160612553,1,91.2090890848,100.0675954896,0.0005636740160612553,0,0,3,0,0,3,7,1,1,0,2,3,6
1499.5,43.694652960406685,137.27080074156916,7620.937880320001,98.50522563394082,309.46329319179347,500468.1369621122,0.8986496072364002,0.8582440136605874,0.000630554899471814,1,91.2090890848,100.0675954896,0.000630554899471814,0,0,3,0,0,3,8,1,1,0,2,3,6
1503.0,43.74561733176193,137.4309100362136,7638.725998080001,98.62011971272408,309.8242435856399,502221.3815888983,0.8507593929028928,0.7806787639124687,0.0006327638652535383,1,91.2090890848,100.0675954896,0.0006327638652535383,0,0,3,0,0,3,9,1,1,0,2,3,6
