Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
1309.5,40.832672993948066,128.2796255042216,6655.29720192,92.05317799755652,289.1935877367171,408427.5053033211,1.1896680480304316,1.4293954125921755
1064.0,36.80661456312185,115.6313899150147,5407.58779904,82.9768318711019,260.67940542440914,299136.33575277607,1.0874219754935888,1.1410992425823816
2521.5,56.66104051329902,178.00590862133384,12815.06826624,127.73664973318131,401.29652039593503,1091302.5909543373,1.9453927890611082,1.9202048383253172
1525.0,44.06461512053774,138.43307114594307,7750.537023999999,99.33926832774027,312.083515591414,513288.4514074809,1.3388281570652876,1.1851186672177598
5777.5,85.76795129713314,269.44796570852066,29363.1001024,193.35526940425694,607.4434938932889,3785006.7538958103,1.3576132551281181,1.3130565670356509
1263.5,40.10907833362514,126.00638583517429,6421.510511359999,90.42190619532452,284.0687962268169,387096.8140603229,1.1530880947603859,1.2153428274939926
11162.5,119.21634291533294,374.52918709065153,56731.389856,268.76132346832657,844.3385993771648,10164802.27993077,1.647629529335244,1.181046023974787
4441.0,75.19612236125515,236.23558558855834,22570.58027776,169.52213825121362,532.569504150846,2550808.6868376974,1.9384506323167439,1.8453928684353622
2161.5,52.46053064871775,164.80961768943388,10985.43329664,118.26702029446929,371.5468021190597,866142.9750915077,1.476732529813409,1.6707328065159988
10605.0,116.20114187010557,365.056653637869,53897.99681280001,261.963854231966,822.9837199612119,9412884.65364221,2.6476666637424384,2.451402799137576
19261.5,156.60301239413096,491.98287326743315,97893.09435264001,353.04583114132885,1109.1261894941013,23040499.23914954,2.711788405765714,1.4625639212936272
2694.0,58.567118193714535,183.9940282592987,13691.76835584,132.03371125591005,414.796137307763,1205183.3264518564,1.1793586439994896,1.207592750628924
1768.5,47.452335399473604,149.07590828666517,8988.081788160001,106.97654492457329,336.0767276414579,641009.2901312249,1.1042037145206947,1.0423416175511124
4086.5,72.13247118711685,226.6108415667237,20768.89806464,162.61544304423623,510.87148122802193,2251562.37354801,1.2679042476419904,1.4744307275197048
2366.0,54.886107193381775,172.42979114287007,12024.76760576,123.73524005675988,388.7257211524863,991925.0042169754,1.238070448766166,1.4992373173768383
2962.5,61.416383410926436,192.94525893382053,15056.371104,138.45709476159254,434.975791740405,1389774.2671414877,1.431536344923492,1.3784664380570946
1370.5,41.77289547134051,131.2334215319377,6965.318682880001,94.17281555059004,295.8526255016003,437295.78104929137,1.25171639899966,1.4032483886762035
1105.0,37.50906153094682,117.83819214867006,5615.962892800001,84.56042831536652,265.6544203799618,316592.15174558194,1.2040429952722642,1.3762888313567918
