# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
2621.5,57.77367451,181.5013514,13323.3002,130.2449718,409.1766466,1156861.906,0.8945604882622786,0.8471767119363224,0.0004406505317946365,0,1,0,4,3,4,0,1,2,2,1,2
5871.0,86.45917746046477,271.6195167452124,29838.29696256,194.91356966687172,612.3390385504067,3877259.315835165,0.8947700445208523,0.8297365958178802,0.0014768542127347687,0,1,0,4,3,4,0,1,2,2,1,2
6071.5,87.92311354734625,276.21860760108416,30857.30199424,198.21386718113737,622.7072289758842,4077563.439369689,0.9294696939241688,0.9952744814526128,0.00155315037055479,0,1,0,4,3,4,0,1,2,2,1,2
7036.5,94.6527868397385,297.3604997775231,35761.74017664001,213.38524265150647,670.3695106984482,5087351.736821637,0.919707161105346,0.9533787506904208,0.0019377803319740583,0,1,0,4,3,4,0,1,2,2,1,2
7153.0,95.433130848205,299.8120227817943,36353.83038208,215.14445018419332,675.8962241592772,5214216.566428018,0.9185644859205602,0.9229363884962006,0.0019861033464515423,0,1,0,4,3,4,0,1,2,2,1,2
7328.5,96.5967701509302,303.46770346666415,37245.77742976,217.76775862825704,684.1375906952476,5407286.312830507,0.9304564692105596,0.8866868488168601,0.002059643918566908,0,1,0,4,3,4,0,1,2,2,1,2
7703.0,99.03415680004024,311.1249794574661,39149.10603008,223.2626030900108,701.4001536889116,5827020.880614999,0.927171725983727,0.8842335428575023,0.0022195214800524777,0,1,0,4,3,4,0,1,2,2,1,2
8559.5,104.39489395157516,327.9662319105541,43502.11256192,235.34784892443105,739.3670732191531,6825419.076744228,0.9222764636017412,0.9016499467224244,0.002599812933842599,0,1,0,4,3,4,0,1,2,2,1,2
9485.5,109.89683208166367,345.2510803205457,48208.34028928,247.75141824490265,778.3340354746383,7962456.451934666,0.9400675954280604,0.9329983666248042,0.0030329122704612988,0,1,0,4,3,4,0,1,2,2,1,2
9929.0,112.4366285499322,353.2300862468714,50462.34892544,253.4771354029672,796.321906434947,8527367.767550355,0.932802479631579,0.915819990385027,0.0032480878850716572,0,1,0,4,3,4,0,1,2,2,1,2
