Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
55189.0,265.0826611349541,832.7817408156044,280488.12315904,597.6023512626405,1877.4231564946983,111746907.93405825,1.2477661586617717,1.0729059049871739
65249.0,288.2318633573058,905.5071044538091,331616.25592063996,649.7899127527103,2041.3752162806672,143653932.00136873,1.234005938781176,1.011408342188047
74447.0,307.8780024407373,967.2272706697207,378363.42939391994,694.0801687023982,2180.517158997818,175076368.60303324,1.3869024950086588,1.1577171334166487
68015.5,294.27882060205155,924.5041809104738,345676.4924300799,663.422173165265,2084.202225444572,152886299.88007328,1.35514773121171,1.0918884357899359
27240.5,186.23555465688662,585.0762503472954,138444.92052608,419.8494344184852,1318.9958987829427,38750681.05399122,1.0694550744245432,1.0133624669115853
60808.5,278.2513016250385,874.1522450370186,309048.2168025599,627.2897343834867,1970.6888212114545,129241849.21984535,1.2259235061206928,1.226617961678139
