# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1014.5,35.94024928,112.9096231,5156.012991,81.02369797,254.5434543,278506.1595,0.913215625957692,0.9412443349691944,0.00016596660968360832,0,0,0,0,0,0,0,1,2,4,1,6
1019.0,36.01987085047822,113.15976164711552,5178.883427839999,81.2031968453181,255.1073666572572,280361.2602865649,0.818661151887876,0.9004967712619556,0.00016707209614293944,0,0,0,0,0,0,0,1,2,4,1,6
1046.5,36.502673649547205,114.6765313738032,5318.64721024,82.29162747553922,258.526772329102,291786.7565992573,0.7638742052207929,0.8687565169458584,0.00017388074587037976,0,0,0,0,0,0,0,1,2,4,1,6
1057.0,36.68534037984474,115.25039583176122,5372.011563519999,82.70343135232197,259.82049236312247,296189.1930449707,0.7622584442828914,0.6731990661814509,0.00017650423345339894,0,0,0,0,0,0,0,1,2,4,1,6
1059.0,36.72003102,115.3593797,5382.176202,82.78163792,260.0661856,297030.2411,0.9020749937646546,0.815554765478721,0.0001770054284521911,0,0,0,0,0,0,0,1,2,4,1,6
1074.0,36.97917348,116.1734997,5458.410993,83.36584869,261.9015378,303363.3766,0.9060100704414584,0.8510508612207063,0.00018077945280227698,0,0,0,0,0,0,0,1,2,4,1,6
1140.0,38.09846559899868,119.68985963885773,5793.8440704,85.88918084638262,269.8288195698408,331752.3474388848,0.8680585048804937,0.7391284102666811,0.00019769692870656312,0,0,0,0,0,0,0,1,2,4,1,6
1145.0,38.18192345497751,119.95205022608516,5819.255667200001,86.0773282369013,270.41990202968634,333937.32010668167,0.8356750662088572,0.7694865244159541,0.00019899899149245135,0,0,0,0,0,0,0,1,2,4,1,6
1156.5,38.37318769,120.5529245,5877.70234,86.50851433,271.7745131,338980.8647,0.915780024473122,0.8237705367662952,0.00020200452644522906,0,0,0,0,0,0,0,1,2,4,1,6
1156.5,38.37318769,120.5529245,5877.70234,86.50851433,271.7745131,338980.8647,0.7483322611103974,0.8049223798216598,0.00020200452644522906,0,0,0,0,0,0,0,1,2,4,1,6
1160.0,38.43120960746342,120.73520577137656,5895.490457599999,86.63931893906553,272.1854478909913,340520.85203881585,0.893978439911871,0.7965914361622852,0.00020292223138230407,0,0,0,0,0,0,0,1,2,4,1,6
1166.5,38.53873284,121.073,5928.525533,86.88171932,272.9469711,343386.9942,0.8840457624450114,0.7834111301845259,0.000204630214782804,0,0,0,0,0,0,0,1,2,4,1,6
1170.0,38.5965059,121.2544994,5946.313651,87.01196289,273.3561434,344933.6152,0.9056801743650976,0.8908969254200081,0.00020555187283265215,0,0,0,0,0,0,0,1,2,4,1,6
1170.0,38.59650589548412,121.25449937548804,5946.3136512,87.0119628907794,273.35614339210025,344933.6151700996,0.8978235262153544,0.941098347282212,0.000205551872814834,0,0,0,0,0,0,0,1,2,4,1,6
1195.5,39.01484173658644,122.5687401806284,6075.912794880001,87.95505921096047,276.3189678632087,356271.5130895351,0.9335265934385596,0.9183141094792864,0.00021230832115337622,0,0,0,0,0,0,0,1,2,4,1,6
1204.0,39.15329375494655,123.0037000243832,6119.112509440002,88.2671854411515,277.2995413349695,360077.892404007,0.909817880052835,0.8412865473178929,0.00021457660804199247,0,0,0,0,0,0,0,1,2,4,1,6
1214.5,39.32364972,123.5388891,6172.476863,88.65123592,278.5060715,364798.4684,0.9075407782892926,0.8078533857653232,0.0002173896804538031,0,0,0,0,0,0,0,1,2,4,1,6
1225.5,39.50132988,124.0970877,6228.382376,89.05179808,279.7644746,369765.7664,0.8917946682443394,0.8229443724776847,0.00022034977875047353,0,0,0,0,0,0,0,1,2,4,1,6
1278.5,40.34645905,126.7521394,6497.745302,90.95705728,285.750023,394010.5278,0.8498053064600104,0.8151453125231017,0.0002347976489856236,0,0,0,0,0,0,0,1,2,4,1,6
1301.5,40.70775438995394,127.88718213561695,6614.638647040001,91.77156149671217,288.30886340653484,404690.4782502402,0.900723345430944,0.7981912625481165,0.00024116201511309982,0,0,0,0,0,0,0,1,2,4,1,6
1307.0,40.79367702192164,128.15711604498378,6642.591403519999,91.96526547822016,288.91740241181145,407258.4545920398,0.9271604209559502,0.9555625176521272,0.0002426923163745202,0,0,0,0,0,0,0,1,2,4,1,6
1351.5,41.48232448537054,130.3205658570681,6868.75461504,93.51775231981937,293.7946836681743,428233.6618899512,0.6354142132913219,0.6336597370629726,0.00025519180309644757,0,0,0,0,0,0,0,1,2,4,1,6
1477.0,43.36559474484162,136.23703386894658,7506.58569472,97.76339679277096,307.13276915415315,489246.2105545663,0.9119129734877932,0.9435109576031036,0.00029155023002747684,0,0,0,0,0,0,0,1,2,4,1,6
1477.5,43.372934271803686,136.26009167293142,7509.126854399999,97.77994302235425,307.1847506674566,489494.6639805746,0.8144827985473283,0.9213737260557516,0.00029169828769648096,0,0,0,0,0,0,0,1,2,4,1,6
1511.0,43.86188495829644,137.79617555758475,7679.384552960001,98.88223344998347,310.64769817701904,506236.46407865867,0.9287488615064362,0.8951405093529885,0.0003016750142696673,0,0,0,0,0,0,0,1,2,4,1,1
1517.5,43.95612595686305,138.09224238634857,7712.419628799998,99.09469035715205,311.3151512357842,509506.5566802383,0.8449181738021988,0.8596210856175569,0.00030362371868399685,0,0,0,0,0,0,0,1,2,4,1,1
1520.5,43.99955372,138.2286747,7727.666587,99.19259391,311.6227243,511018.1958,0.8845671313422827,0.8296635420470172,0.00030452453042985686,0,0,0,0,0,0,0,1,2,4,1,1
