Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
8202.5,102.19465429116228,321.05397515726406,41687.724550399995,230.38762863399623,723.784081594536,6402890.668209255,1.0979226198185885,1.0959477359833456
3285.0,64.67296115421814,203.1760996479898,16695.419097599995,145.79872362606937,458.04019904642814,1622780.5298882548,1.1423964034832954,1.2413955936308612
2513.0,56.56545744462308,177.70562555497392,12771.868551680001,127.52116726315826,400.61956225113323,1085789.0572279042,1.0794445822925773,1.0756366596924012
6062.0,87.85430052185582,276.0024251057322,30809.019960319998,198.05873509647176,622.2198671583626,4067997.0152686196,1.142820950562855,1.1388712070102502
2742.5,59.09195758676627,185.64285984082454,13938.2608448,133.21690918360588,418.51326322515484,1237874.6860927541,1.143864548888182,1.2684182212919137
