Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
1447.5,42.93034173,134.8696462,7356.657274,96.78216239,304.0501304,474662.1326,1.080908482,1.021203568
2583,57.34786608,180.1636348,13127.63091,129.2850293,406.1608982,1131470.764,1.129745768,1.046560062
1051,36.58107108,114.9228242,5341.517647,82.46836665,259.0820148,293670.8239,1.279075316,1.38301262
2395,55.22145154,173.4833065,12172.15487,124.4912403,391.1007661,1010217.771,1.276665942,1.407180515
1421.5,42.54303718,133.6528931,7224.51697,95.90902303,301.3070822,461930.9096,1.183101142,1.339819716
3494,66.69856797,209.5397311,17757.62384,150.3652516,472.3863699,1780086.385,1.149156467,1.087818882
1834.5,48.32967975,151.8321669,9323.514866,108.95443,342.290437,677225.4987,1.195930598,1.15467839
