Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
6317.5,89.68662566884981,281.75884432651634,32107.5525568,202.18952890785502,635.1971386496984,4327873.950562392,1.0755175353771818,1.0703937101442647
7035.5,94.6460607578796,297.33936916816776,35756.65785727999,213.37007937256377,670.3218738527174,5086267.283403625,1.0609526240955185,1.0754539044823728
6088.5,88.04611841597583,276.60503879272665,30943.70142335999,198.4911693569759,623.578399454323,4094700.986503896,1.0856324684209246,1.1284193466771015
7680.0,98.88619571793653,310.66014600891185,39032.21268479999,222.9290396265161,700.3522331624908,5800942.458880254,1.0688489485811883,1.0960541813647608
7821.0,99.78981150084265,313.4989387141575,39748.81971456,224.96615104749966,706.7520074371967,5961425.986577026,1.084688745111683,1.0678363576413172
7931.0,100.48911796455661,315.6958747631692,40307.87484415999,226.54266753929642,711.7047800660886,6087635.66002407,1.0640197161207694,1.064791911475826
8121.0,101.68568406021694,319.4549980188303,41273.51552256001,229.24020614535308,720.179347533651,6307699.471156725,1.0638361023296607,1.0841226544521447
20494.5,161.53763601580528,507.4854505855158,104159.59412351999,364.1704466340314,1144.0751997999869,25287897.275454473,1.1717753512288736,1.1888054337951213
5690.0,85.1159973773619,267.3997920636882,28918.397158400003,191.88550448752466,602.8260912283787,3699347.485140123,1.063545764490681,1.07856198790091
6807.0,93.09641014030697,292.4709981723707,34595.34788351999,209.87654702030804,659.3466182797926,4840501.437839665,1.0652799462019193,1.0695222260397461
