Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
3184.5,63.67598708,200.0440132,16184.646,143.5511453,450.9792234,1548882.98,1.29832863,1.363863582
2519,56.63294459,177.9176427,12802.36247,127.6733103,401.0975337,1089679.997,1.079288048,1.006481305
1168.5,38.57175661,121.1767472,5938.690172,86.9561681,273.1808589,344270.4939,1.299247606,1.083271576
2115,51.89317525,163.0272181,10749.10545,116.9879743,367.5285605,838344.0476,1.100050014,1.052780408
2294,54.04453271,169.7859069,11658.84061,121.8379945,382.7653486,946993.1725,1.222848045,1.308214818
1905.5,49.25604483,154.7424286,9684.35954,111.0428275,348.851331,716919.1104,1.074476001,1.03606405
2190,52.80525166,165.8925907,11130.2794,119.0441593,373.9882564,883329.8362,1.305976361,1.259475628
2665,58.25103765,183.0010319,13544.38109,131.3211393,412.5575264,1185775.704,1.089273057,1.03002457
1663,46.01518622,144.560971,8451.897096,103.7366358,325.898253,584514.2473,1.120803106,1.09201089
4333,74.27615329,233.3454175,22021.68979,167.44816,526.0539092,2458327.623,1.273126386,1.249525351
1722.5,46.83113404,147.1243467,8754.295098,105.5761086,331.6771271,616162.9399,1.097293564,1.058331947
1081.5,37.10806607,116.5784278,5496.528388,83.65642415,262.8144075,306546.6068,1.101988067,1.067098905
1944,49.75115752,156.297871,9880.028836,112.1590095,352.3579203,738756.1655,1.113414944,1.140996791
3119.5,63.02277969,197.9919017,15854.29524,142.0785545,446.3529432,1501703.568,1.097204413,1.003915336
2701,58.64315826,184.2329152,13727.34459,132.205136,415.3346839,1209883.639,1.110060416,1.150492626
3226,64.08955275,201.3432681,16395.56226,144.4834877,453.9082636,1579258.678,1.339823786,1.403857793
5320,82.30209218,258.5596482,27037.939,185.5418366,582.8968709,3344445.906,1.100685775,1.115786623
4121,72.43631799,227.5654044,20944.23808,163.3004353,513.0234478,2280135.464,1.088137122,1.021586989
1875.5,48.86676546,153.5194714,9531.88996,110.165236,346.0942962,700055.2716,1.108164905,1.043654098
