# Original PSD data with all cluster assignments
Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3],Irregularity [-],Diameter Ratio [-],Volume Fraction,Cluster_Volume_k2,Cluster_Volume_k3,Cluster_Volume_k4,Cluster_Volume_k5,Cluster_Volume_k6,Cluster_Volume_k7,Cluster_Number_k2,Cluster_Number_k3,Cluster_Number_k4,Cluster_Number_k5,Cluster_Number_k6,Cluster_Number_k7
1504.5,43.76744103844835,137.49947123281376,7646.349477119999,98.66931907707794,309.9788079472553,502973.3975552009,0.8228797902192658,0.6681614679288821,0.0002115986294789046,1,1,2,1,2,1,0,2,1,4,4,5
1508.0,43.81832075126368,137.65931456481118,7664.13759488,98.78402230164885,310.3391587549104,504729.5593970209,0.66238609940571,0.7009129840358577,0.00021233743880893775,1,1,2,1,2,1,0,2,1,4,4,5
1515.5,43.92715026,138.0012126,7702.25499,99.02936755,311.1099336,508499.6269,0.7896960840327101,0.761406369950056,0.00021392348912601397,1,1,2,1,2,1,0,2,1,4,4,5
1694.0,46.44209070209227,145.90213096704392,8609.448995839999,104.69904927879682,328.9217640521038,600934.0831191599,0.7928412900143276,0.7251303693356146,0.0002528102460552519,1,1,2,1,2,1,0,2,1,4,4,5
1719.0,46.78353104886104,146.97479745209182,8736.506979839998,105.46879239655232,331.3399833759958,614285.8939518501,0.7210890195182001,0.6552164605676559,0.0002584272923781616,1,1,2,1,2,1,0,2,1,4,4,5
1767.5,47.43891751841941,149.03375477011855,8982.999468799999,106.94629565352471,335.9816967537553,640465.6780304933,0.5479038330293612,0.8508948062913814,0.0002694410089246447,1,1,2,1,2,1,0,2,1,4,4,5
2075.0,51.40011726956917,161.47823080773236,10545.812672000002,115.87642437251674,364.03652353295183,814674.0430224912,0.6696532476999667,0.6627213771182565,0.0003427296787732761,1,1,2,1,2,1,0,2,1,4,4,5
2269.0,53.74923745509404,168.8582095249768,11531.78262784,121.172280918764,380.67394755310767,931554.936049834,0.6901981030413928,0.6257263157902573,0.0003919009409057667,1,1,2,1,2,1,0,2,1,4,4,5
2332.0,54.49031673905373,171.18637875919214,11851.96874752,122.84297005652272,385.9225722747228,970620.6946416284,0.6118945719153112,0.5722579642946053,0.0004083357285461413,1,1,2,1,2,1,0,2,1,4,4,0
2532.0,56.77889156429026,178.37614861734576,12868.43261952,128.00233314253595,402.13118944294433,1098126.2661240508,0.8911387782863368,0.8894403795099665,0.000461976744766376,1,1,2,1,2,1,0,2,1,4,4,0
3164.0,63.47070126871181,199.39908882397737,16080.458455039998,143.0883489401839,449.52530584477455,1533950.8336885956,0.5210647946692257,0.5959008092172445,0.0006453261657062238,1,1,2,1,2,1,0,2,1,4,4,0
4603.5,76.55950786276203,240.5187874641032,23396.45717376,172.59575452581072,542.2255544590743,2692086.1194239496,0.935220432784198,0.9933164719958032,0.0011325484331341255,1,1,2,1,2,1,0,2,1,4,1,0
4740.5,77.6903601601707,244.0714647339374,24092.73492608,175.1451479450888,550.2347100961885,2813150.4153533927,0.935008674920308,0.9474434165874476,0.0011834796339133622,1,1,2,1,2,1,0,2,1,4,1,0
5962.0,87.12665588504497,273.7164620603032,30300.788024320005,196.41833302724532,617.0663920687475,3967753.5154325706,0.5237172302617394,0.5218024164107707,0.0016692159268393424,1,1,2,1,2,1,0,2,1,4,1,0
6868.5,93.516019018206,293.78923834055934,34907.91052416,210.8225132746436,662.318458914957,4906248.953246529,0.9411818679344836,0.9741251981063122,0.002064036705391241,1,1,2,1,2,1,0,2,1,0,1,0
7558.0,98.09762728582358,308.18278521573296,38412.16972287999,221.15129095316067,694.7672709903484,5663267.281684548,0.9318116538298274,0.9406207629684856,0.0023825108862654213,1,1,2,1,2,1,0,2,1,0,1,0
8769.5,105.6677537735851,331.9650389764301,44569.39962752,238.21738410717023,748.381983868464,7078137.193663269,0.944141654115885,0.9896476213131898,0.0029777402477403066,1,1,2,4,5,3,0,2,1,0,1,0
10711.0,116.78042971173863,366.8765400654573,54436.72266495999,263.2698007421436,827.0864719235668,9554363.419372898,0.8519781483012551,0.8983173241985561,0.004019477401607124,1,1,0,4,5,3,0,2,1,0,1,0
10801.5,117.27274594916273,368.42319714019175,54896.67256704,264.3796784677924,830.5732556328483,9675709.761483807,0.9278756448995455,0.9058225836477534,0.004070527257937008,1,1,0,4,5,3,0,2,1,0,1,0
11113.5,118.9543932791649,373.7062480380556,56482.35620736001,268.1707842085494,842.4833655769925,10097945.172049573,0.9340545224266508,0.9554027007433488,0.004248159782097241,1,1,0,4,5,3,0,2,1,0,1,0
11172.5,119.2697313384817,374.6969117686024,56782.2130496,268.8816823294732,844.7167178911374,10178464.647444677,0.9361980301562768,0.9627987105711224,0.00428203396057821,1,1,0,4,5,3,0,2,1,0,1,0
11405.5,120.50698580363256,378.5838613069415,57966.39346048001,271.67094879570925,853.479456930369,10498523.406449333,0.9300421698131106,0.9520237450193068,0.004416681230368799,1,1,0,4,5,3,0,2,1,0,1,0
11513.5,121.0761888164155,380.3720653103016,58515.28395135999,272.95416006772706,857.5107840355438,10647993.454712007,0.9409734038567086,0.945907725128246,0.004479562602453803,1,1,0,4,5,3,0,2,3,0,1,0
11714.5,122.12847598656124,383.67792295349824,59536.83014272002,275.3264362641037,864.9635095063666,10928042.179770911,0.9390620637476949,0.9488887168569088,0.004597377832240932,1,1,0,4,5,3,0,2,3,0,1,0
11788.5,122.51360893023462,384.887853779998,59912.92177536,276.19467997232096,867.6911775616275,11031753.50396817,0.931473784333047,0.9017065238648424,0.004641008716435307,1,1,0,4,5,3,0,2,3,0,1,0
11945.5,123.32673263179352,387.4423572272752,60710.84591488002,278.02778604511536,873.4500501331693,11252868.052426817,0.9345515770241009,0.9945704244499478,0.004734030605145757,1,1,0,4,5,3,0,2,3,0,1,0
12212.0,124.69483277307768,391.7403705805086,62065.28402432,281.1120310036263,883.1394914366987,11631532.031262346,0.935029459906247,0.9907029542047736,0.004893332825390582,1,1,0,4,5,3,0,2,3,0,1,0
12215.5,124.71270047077154,391.7965036083202,62083.07214207999,281.15231194130735,883.266037734597,11636532.843443176,0.9232325349936626,0.9339072563804972,0.0048954366444173706,1,1,0,4,5,3,0,2,3,0,1,0
12709.0,127.2069234516706,399.6323362015275,64591.19674623999,286.7752882294462,900.9311387327236,12348772.709325226,0.9364346558605908,0.9085745372712534,0.005195072728976575,1,1,0,4,5,3,0,2,3,0,1,3
12741.0,127.3669699705175,400.1351371693696,64753.830965759975,287.13609710153463,902.0646532346268,12395441.530587211,0.94126722251405,1.000689424315,0.005214706090634332,1,1,0,4,5,3,0,2,3,0,1,3
12845.0,127.88573787613365,401.7648946105714,65282.39217919999,288.30560746795567,905.738778410072,12547519.82279038,0.9376620083901404,0.951793415906124,0.0052786847391276676,1,1,0,4,5,3,0,2,3,0,1,3
12904.0,128.1791054940802,402.68653616391344,65582.24902144,288.9669754258544,907.8165271279264,12634069.427567145,0.943905755533106,0.9758488353502996,0.005315095765718183,1,1,0,4,5,3,0,2,3,0,1,3
12992.0,128.61542739966785,404.0572818571079,66029.49312511999,289.9506195298112,910.906736218664,12763528.292578636,0.9332429199390284,0.9893494415359064,0.005369558523676112,1,1,0,4,5,3,0,2,3,0,1,3
13083.0,129.06507259429304,405.4698838972644,66491.98418687998,290.9642996565742,914.0913062579928,12897862.407807693,0.922684754644556,0.9132857324989831,0.00542607227731178,1,1,0,4,5,3,0,0,3,0,1,3
13189.0,129.5868679902098,407.1091524797535,67030.71003904,292.140635197129,917.786873350356,13054929.472346475,0.9281648065044604,0.8998914507084276,0.005492149679723572,1,1,0,4,5,3,0,0,3,0,3,3
13267.5,129.97194181735446,408.3188975862008,67429.6721088,293.0087456330439,920.514122718331,13171655.762031289,0.928655194198106,0.9344891145503528,0.005541255900930337,1,1,0,4,5,3,0,0,3,0,3,3
13300.5,130.13347979958897,408.8263841244644,67597.38864768,293.37291686019336,921.6582003701926,13220828.719801337,0.9214268456867198,0.9639129162990608,0.005561942741471291,1,1,0,4,5,3,0,0,3,0,3,3
13334.0,130.29726048347547,409.3409163177622,67767.64634624,293.7421440339471,922.8181617467632,13270809.155919217,0.9196552044103448,0.9054946403603172,0.005582969284494654,1,1,0,4,5,3,0,0,3,0,3,3
13487.0,131.04267144652974,411.6826939231988,68545.24120831999,295.4225985090566,928.0974651804592,13499875.515461309,0.9403680818387488,0.954463607451493,0.005679336464099832,1,1,0,4,5,3,0,0,3,0,3,3
13974.5,133.38997720181803,419.0569724397415,71022.87189632001,300.71436460377856,944.7220386681532,14238398.529758288,0.9270525368402396,0.9327970433693572,0.005990029750113471,1,0,0,4,5,3,0,0,3,0,3,3
14070.5,133.84736461431024,420.49389737467146,71510.77455488,301.745498786501,947.9614422414594,14385369.55778086,0.9392557781101686,0.9717266188034752,0.006051859795706029,1,0,0,4,5,3,0,0,3,0,3,3
14289.5,134.88497497680424,423.7536464667713,72623.80249472,304.0846875877075,955.3102205946892,14722524.195358869,0.9316134429365543,0.9714422868212452,0.006193699224154398,1,0,0,4,5,3,0,0,3,2,3,3
14298.0,134.9250866615373,423.8796610408518,72667.00220927998,304.1751153697697,955.5943078504962,14735662.520388698,0.9246609679109272,0.939786425704167,0.006199226457967306,1,0,0,4,5,3,0,0,3,2,3,3
14331.5,135.0830579139071,424.3759423667751,72837.25990784,304.5312457611122,956.713124471658,14787480.998373616,0.9415557277390988,0.9706546459949236,0.0062210262568763285,1,0,0,4,5,3,0,0,3,2,3,3
14388.0,135.34906933425705,425.2116418907175,73124.41095168,305.13094190714907,958.5971254784334,14875013.593394374,0.9169379442995096,0.8496783433390462,0.006257850823008759,1,0,0,4,5,3,0,0,3,2,3,3
14436.0,135.5746512730046,425.92032845226936,73368.36228095999,305.6394938298616,960.194788462796,14949512.74045235,0.9427419370158572,0.9615223494539334,0.006289192276635209,1,0,0,4,5,3,0,0,3,2,3,3
14486.0,135.80923401975863,426.65729188613074,73622.47824895999,306.16833717414386,961.856198828093,15027247.829415768,0.921701950943959,1.0022398461797606,0.006321895076359871,1,0,0,4,5,3,0,0,3,2,3,3
15280.5,139.48382294490517,438.20135345833353,77660.38098048,314.4523304469942,987.881131236467,16280325.188475572,0.9372363885597422,0.9118957915620026,0.00684905904387169,1,0,0,0,0,6,0,0,3,2,3,3
15342.0,139.76423396322417,439.0822906534701,77972.94362112,315.08448904669257,989.867116049183,16378710.066884773,0.9301149311418684,0.9112186332493594,0.006890449116456098,1,0,0,0,0,6,0,0,3,2,3,4
15751.5,141.61720477715946,444.9035701498455,80054.15339904,319.2618264496283,1002.9906085458118,17038823.48603749,0.894918515129502,0.874105848203037,0.0071681558410508495,0,0,0,0,0,6,0,0,3,2,3,4
15893.0,142.25187550424755,446.897447043514,80773.30158848001,320.6926281367757,1007.485604614898,17268934.91312937,0.679869798053985,0.9420654006903812,0.00726496267583923,0,0,0,0,0,6,0,0,3,2,3,4
15941.5,142.4687621985802,447.5788166890908,81019.79407743999,321.1815775004792,1009.0216843438862,17348043.513704102,0.9260023382709476,0.9922529976360802,0.007298243305675662,0,0,0,0,0,6,0,0,3,2,3,4
15961.0,142.5558710594479,447.8524772464553,81118.89930495998,321.3779557164193,1009.6386247044088,17379884.01906274,0.9251751972341944,0.9369167803733408,0.0073116384620170345,0,0,0,0,0,6,0,0,3,2,3,4
16046.0,142.93495630817685,449.0434086789464,81550.89645056002,322.2325655011539,1012.3234605258168,17518903.054788597,0.9356415603971864,0.9476433459359568,0.007370123140479263,0,0,0,0,0,6,0,0,3,2,3,4
16102.5,143.18638122774792,449.8332833592003,81838.0474944,322.7993778398349,1014.1041540049812,17611513.876546122,0.9288015935812394,0.9362575927512896,0.007409084093591414,0,0,0,0,0,6,0,0,3,2,3,4
16286.0,143.9999278664988,452.3891155028528,82770.65309695998,324.6334373822349,1019.8660219896312,17913414.41949243,0.9280809724633424,0.8885648827091087,0.007536092284157527,0,0,0,0,0,6,0,0,0,2,3,4
