Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
4146.5,72.66008376161118,228.2683853546967,21073.837226239993,163.80489283217622,514.6082479436282,2301331.7656046455,1.057438257571361,0.9985332911434752
6273.0,89.3701944952772,280.76474647625383,31881.389345279997,201.47616647015292,632.9560444560666,4282226.738019594,1.1163130619160346,1.107243158603818
16589.0,145.3333093534019,456.57805698654016,84310.59586304,327.63941260630924,1029.309571670456,18415649.40336957,1.2010157256004934,1.1274154143504915
7203.0,95.7660923329723,300.8580521362676,36607.94635008,215.89507855545276,678.2543927360017,5268983.635336214,1.0821165891588878,1.1128025157755073
12833.5,127.82847764625342,401.5850062930368,65223.94550656,288.1765200057137,905.3332381870223,12530673.09141518,1.1479564244844165,1.0320705641061811
8127.5,101.72637022834854,319.5828173857352,41306.550598400005,229.33192904278894,720.4675035144014,6315273.95388976,1.0945711433258305,1.0793213247200963
7007.0,94.45416608048205,296.73651425939266,35611.81175552001,212.93747201183874,668.9627977463748,5055392.779321273,1.079239545873276,1.0743358244071615
5145.5,80.94105310307484,254.28381780244123,26151.07426688,182.4735101155719,573.2574388538235,3181252.209847067,1.0810536227383958,1.0254376094452735
13628.0,131.7258840002632,413.8290694628481,69261.84823807998,296.96283289019334,932.9362541970448,13712129.77599392,1.0975326271761048,1.0552216146047824
18518.5,153.5528785440967,482.40059517169993,94116.93106815999,346.16960938981157,1087.5239017550803,21720280.84322184,1.2534879379699233,1.2768452457447645
7617.5,98.48300478773027,309.39348434458185,38714.5677248,222.0200859934591,697.4966711064252,5730274.4369731285,1.0744684786369636,1.0199100822093454
2790.0,59.60149603668606,187.2436220918141,14179.671014399995,134.36561266510503,422.1220216437856,1270173.4554929913,1.2038933625544357,1.1191600499455991
12887.0,128.09464474755393,402.4211949031098,65495.84959232001,288.77656711888557,907.2183417895707,12609111.07053669,1.1168540442782846,1.0849236978118701
8816.5,105.95053773415952,332.8534309895237,44808.26863744,238.85489226788923,750.3847748227822,7135116.118737579,1.085775525304185,1.0366218525079256
6722.5,92.51677058502491,290.65000680376653,34165.8918976,208.56980760688018,655.2413753384113,4750648.999866599,1.0573571009467202,1.0052231548066304
