Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Equivalent Perimeter [mym],Perimeter [mym],Feret_max [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
2204,52.97376668,166.4219962,11201.43187,119.4240596,375.1817483,427.164228,143.7266773,891813.6449,1.138552795,1.203498505
8673,105.084759,330.1335068,44078.95581,236.9030807,744.2529778,983.2160501,357.8570013,6961626.949,1.321077751,1.510562886
5971,87.19239257,273.9229799,30346.5289,196.5665298,617.531966,723.065124,231.207423,3976741.251,1.170895053,1.176229866
1994.5,50.39321653,158.3149588,10136.68596,113.6064673,356.9052432,418.052777,118.2240266,767728.7219,1.171327082,1.040645215
1524,44.05016534,138.3876758,7745.454705,99.30669273,311.9811763,366.041362,115.4707835,512783.6603,1.17328028,1.1627694
9007,107.0890684,336.4302307,45776.45048,241.4215959,758.4483121,903.6048261,266.2149499,7367615.819,1.191386165,1.102697333
