Area [-],Diameter [-],Perimeter [-],Area [mym^2],Diameter [mym],Perimeter [mym],Volume [mym^3] ,Irregularity [-],Diameter Ratio [-]
1289,40.51179795,127.2715668,6551.109655,91.3297973,286.9210202,398874.3446,1.394962822,1.304308299
1700.5,46.53110622,146.1817815,8642.484072,104.8997259,329.5522081,604396.1399,1.142093877,1.203495996
2279,53.86754981,169.2298987,11582.60582,121.4390043,381.5118837,937720.0787,1.173017699,1.039586916
2009.5,50.58235725,158.9091619,10212.92075,114.0328662,358.2448147,776405.7505,1.218184853,1.12557179
2082,51.48674327,161.7503744,10581.38891,116.071714,364.6500441,818799.9648,1.316812703,1.390342763
1295,40.60597506,127.5674329,6581.603571,91.54211017,287.5880208,401662.5861,1.67615958,1.357592838
4086,72.1280582,226.5969778,20766.3569,162.6054944,510.8402267,2251149.154,1.195046553,1.047892072
1776.5,47.55954217,149.4127083,9028.740343,107.2182319,336.8360096,645363.717,1.206503971,1.064013448
1624,45.47242044,142.855822,8253.686641,102.5130246,322.0541651,564073.588,1.139980226,1.230906747
2633,57.90025666,181.899021,13381.74687,130.5303386,410.0731529,1164482.634,1.199382599,1.078275602
3379,65.5917405,206.0625301,17173.15712,147.8700198,464.5473678,1692930.055,1.519335941,1.212055294
2460.5,55.97147398,175.8395715,12505.04679,126.1820909,396.4127299,1051941.967,1.329182433,1.171355745
1476,43.35091196,136.1909065,7501.503375,97.73029593,307.0287797,488749.4299,1.22765875,1.1476567
3316.5,64.98229721,204.1479075,16855.51216,146.4960908,460.2310427,1646177.76,1.225621922,1.065833705
1072,36.94472617,116.0652803,5448.246354,83.28819068,261.657568,302516.3875,1.211116202,1.353538758
2085.5,51.53000165,161.8862746,10599.17703,116.1692357,364.9564175,820865.5296,1.237084653,1.144964062
1203,39.1370307,122.9526081,6114.03019,88.23052202,277.1843598,359629.3835,1.220180584,1.155122605
